station_id,station_name,crs,operator,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,route,county
SO_000003,Angmering,ANG,Southern,50.816704,-0.489559,False,False,False,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR001,40.5,30-60,False,commuter,,West Sussex
,Ashurst,ASH,Southern,,,,False,False,,,,,,,,,,,,,,,,,55.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR002,55.0,,False,commuter,,
SO_000008,Balcombe,BAB,Southern,51.05624,-0.137881,False,False,False,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR002,18.0,0-30,False,inner,,West Sussex
SO_000009,Balham,BAL,Southern,51.443169,-0.152403,False,True,False,,,,,,,,,,,,,2.0,2.0,medium,some,9.0,0-30,4.0,6.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR003,9.0,0-30,False,inner,,England
SO_000011,Barnham,BAA,Southern,50.831135,-0.639627,False,True,False,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,"['West Coastway', 'Arun Valley']",West Coastway,False,True,True,single,False,False,SR004,27.0,0-30,False,outer,,West Sussex
,Basingstoke,BSK,Southern,51.26804,-1.086896,False,True,False,,,,,,,,,,,,,1.0,1.0,low,few,44.0,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR005,44.0,30-60,False,commuter,,Hampshire
,Bat & Ball,BBL,Southern,51.289703,0.194258,False,False,False,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR006,27.0,0-30,False,outer,,Kent
,Battle,BAT,Southern,50.91312,0.495169,False,False,False,,,,,,,,,,,,,1.0,1.0,low,few,81.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR007,81.0,60-120,False,regional,,East Sussex
SO_000014,Berwick,BRK,Southern,50.840569,0.164587,False,False,False,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR008,40.5,30-60,False,commuter,,East Sussex
SO_000015,Bexhill,BEX,Southern,50.840679,0.475678,False,False,False,,,,,,,,,,,,,1.0,1.0,low,few,76.5,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR009,76.5,60-120,False,regional,,East Sussex
